seed,level,condition,ate_m
1001,low,raw,0.6484
1998,low,raw,0.6495
2995,low,raw,0.6563
3992,low,raw,0.6634
4989,low,raw,0.66
5986,low,raw,0.6637
6983,low,raw,0.6746
7980,low,raw,0.675
8977,low,raw,0.6737
9974,low,raw,0.6813
10971,low,raw,0.681
11968,low,raw,0.6846
12965,low,raw,0.6911
13962,low,raw,0.6861
14959,low,raw,0.6905
15956,low,raw,0.6988
16953,low,raw,0.7006
17950,low,raw,0.7096
18947,low,raw,0.7083
19944,low,raw,0.7099
1001,low,geometric,0.6664
1998,low,geometric,0.6619
2995,low,geometric,0.6654
3992,low,geometric,0.6616
4989,low,geometric,0.6674
5986,low,geometric,0.6723
6983,low,geometric,0.6695
7980,low,geometric,0.6779
8977,low,geometric,0.6762
9974,low,geometric,0.6797
10971,low,geometric,0.6807
11968,low,geometric,0.6928
12965,low,geometric,0.6876
13962,low,geometric,0.6857
14959,low,geometric,0.6954
15956,low,geometric,0.6895
16953,low,geometric,0.6975
17950,low,geometric,0.6911
18947,low,geometric,0.6959
19944,low,geometric,0.7042
1001,low,semantic,0.677
1998,low,semantic,0.6753
2995,low,semantic,0.6746
3992,low,semantic,0.6744
4989,low,semantic,0.6702
5986,low,semantic,0.6738
6983,low,semantic,0.6753
7980,low,semantic,0.6819
8977,low,semantic,0.6796
9974,low,semantic,0.6717
10971,low,semantic,0.6806
11968,low,semantic,0.6782
12965,low,semantic,0.6776
13962,low,semantic,0.6833
14959,low,semantic,0.6855
15956,low,semantic,0.6856
16953,low,semantic,0.679
17950,low,semantic,0.6817
18947,low,semantic,0.6847
19944,low,semantic,0.6878
1001,high,raw,1.3574
1998,high,raw,1.3611
2995,high,raw,1.3601
3992,high,raw,1.3623
4989,high,raw,1.3729
5986,high,raw,1.3777
6983,high,raw,1.3746
7980,high,raw,1.3815
8977,high,raw,1.3815
9974,high,raw,1.3801
10971,high,raw,1.3867
11968,high,raw,1.3941
12965,high,raw,1.3904
13962,high,raw,1.3994
14959,high,raw,1.3852
15956,high,raw,1.4016
16953,high,raw,1.4013
17950,high,raw,1.4023
18947,high,raw,1.4065
19944,high,raw,1.4008
1001,high,geometric,1.3242
1998,high,geometric,1.3305
2995,high,geometric,1.339
3992,high,geometric,1.335
4989,high,geometric,1.3378
5986,high,geometric,1.343
6983,high,geometric,1.3527
7980,high,geometric,1.3543
8977,high,geometric,1.3549
9974,high,geometric,1.3631
10971,high,geometric,1.3654
11968,high,geometric,1.3729
12965,high,geometric,1.3702
13962,high,geometric,1.3756
14959,high,geometric,1.3794
15956,high,geometric,1.3791
16953,high,geometric,1.3901
17950,high,geometric,1.394
18947,high,geometric,1.3969
19944,high,geometric,1.4
1001,high,semantic,1.2292
1998,high,semantic,1.241
2995,high,semantic,1.2491
3992,high,semantic,1.2551
4989,high,semantic,1.2654
5986,high,semantic,1.2755
6983,high,semantic,1.2892
7980,high,semantic,1.2902
8977,high,semantic,1.2983
9974,high,semantic,1.3048
10971,high,semantic,1.3052
11968,high,semantic,1.3206
12965,high,semantic,1.3288
13962,high,semantic,1.3462
14959,high,semantic,1.3433
15956,high,semantic,1.3531
16953,high,semantic,1.3596
17950,high,semantic,1.3629
18947,high,semantic,1.3799
19944,high,semantic,1.3861
