seed,recall,ate_m
1001,0.0,1.2362
1998,0.0,1.2483
2995,0.0,1.2523
3992,0.0,1.2621
4989,0.0,1.2667
5986,0.0,1.2745
6983,0.0,1.2838
7980,0.0,1.2916
8977,0.0,1.2973
9974,0.0,1.3004
10971,0.0,1.3125
11968,0.0,1.3218
12965,0.0,1.3281
13962,0.0,1.3366
14959,0.0,1.3439
15956,0.0,1.3481
16953,0.0,1.3604
17950,0.0,1.3651
18947,0.0,1.3729
19944,0.0,1.3827
1001,0.1,1.243
1998,0.1,1.2527
2995,0.1,1.2581
3992,0.1,1.267
4989,0.1,1.2743
5986,0.1,1.2817
6983,0.1,1.2887
7980,0.1,1.2978
8977,0.1,1.3058
9974,0.1,1.315
10971,0.1,1.3197
11968,0.1,1.3286
12965,0.1,1.3405
13962,0.1,1.3445
14959,0.1,1.3523
15956,0.1,1.3598
16953,0.1,1.3632
17950,0.1,1.3737
18947,0.1,1.3776
19944,0.1,1.3912
1001,0.2,1.2559
1998,0.2,1.2591
2995,0.2,1.2713
3992,0.2,1.2732
4989,0.2,1.2806
5986,0.2,1.2918
6983,0.2,1.2967
7980,0.2,1.3049
8977,0.2,1.3157
9974,0.2,1.3192
10971,0.2,1.3283
11968,0.2,1.3362
12965,0.2,1.3448
13962,0.2,1.3532
14959,0.2,1.3591
15956,0.2,1.3646
16953,0.2,1.3766
17950,0.2,1.388
18947,0.2,1.3915
19944,0.2,1.3986
1001,0.3,1.2598
1998,0.3,1.2676
2995,0.3,1.273
3992,0.3,1.2846
4989,0.3,1.2908
5986,0.3,1.3012
6983,0.3,1.3042
7980,0.3,1.3167
8977,0.3,1.3209
9974,0.3,1.328
10971,0.3,1.3358
11968,0.3,1.3432
12965,0.3,1.3479
13962,0.3,1.361
14959,0.3,1.3689
15956,0.3,1.3775
16953,0.3,1.384
17950,0.3,1.3915
18947,0.3,1.3945
19944,0.3,1.4059
1001,0.4,1.2662
1998,0.4,1.2756
2995,0.4,1.2866
3992,0.4,1.2915
4989,0.4,1.2938
5986,0.4,1.3047
6983,0.4,1.3132
7980,0.4,1.3215
8977,0.4,1.3314
9974,0.4,1.3389
10971,0.4,1.3464
11968,0.4,1.3529
12965,0.4,1.3595
13962,0.4,1.367
14959,0.4,1.3762
15956,0.4,1.3848
16953,0.4,1.3937
17950,0.4,1.3984
18947,0.4,1.4064
19944,0.4,1.4165
1001,0.5,1.2743
1998,0.5,1.2858
2995,0.5,1.2902
3992,0.5,1.3026
4989,0.5,1.3098
5986,0.5,1.318
6983,0.5,1.3254
7980,0.5,1.3316
8977,0.5,1.3355
9974,0.5,1.3462
10971,0.5,1.3546
11968,0.5,1.3614
12965,0.5,1.3678
13962,0.5,1.376
14959,0.5,1.3841
15956,0.5,1.3889
16953,0.5,1.4
17950,0.5,1.4073
18947,0.5,1.4136
19944,0.5,1.4228
1001,0.6,1.2858
1998,0.6,1.2891
2995,0.6,1.3017
3992,0.6,1.3084
4989,0.6,1.316
5986,0.6,1.3237
6983,0.6,1.3307
7980,0.6,1.3369
8977,0.6,1.3431
9974,0.6,1.3532
10971,0.6,1.3601
11968,0.6,1.3661
12965,0.6,1.3786
13962,0.6,1.3844
14959,0.6,1.3897
15956,0.6,1.3948
16953,0.6,1.4039
17950,0.6,1.4142
18947,0.6,1.4203
19944,0.6,1.4259
1001,0.7,1.292
1998,0.7,1.2988
2995,0.7,1.306
3992,0.7,1.3119
4989,0.7,1.3227
5986,0.7,1.3275
6983,0.7,1.3369
7980,0.7,1.3472
8977,0.7,1.355
9974,0.7,1.3599
10971,0.7,1.3617
11968,0.7,1.377
12965,0.7,1.3812
13962,0.7,1.3879
14959,0.7,1.3998
15956,0.7,1.4023
16953,0.7,1.415
17950,0.7,1.423
18947,0.7,1.4299
19944,0.7,1.4369
1001,0.8,1.2983
1998,0.8,1.3052
2995,0.8,1.3116
3992,0.8,1.3261
4989,0.8,1.3281
5986,0.8,1.3348
6983,0.8,1.3441
7980,0.8,1.3531
8977,0.8,1.3616
9974,0.8,1.3667
10971,0.8,1.3744
11968,0.8,1.3808
12965,0.8,1.3896
13962,0.8,1.3994
14959,0.8,1.4052
15956,0.8,1.4122
16953,0.8,1.4209
17950,0.8,1.4267
18947,0.8,1.4315
19944,0.8,1.4425
1001,0.9,1.2995
1998,0.9,1.3126
2995,0.9,1.3216
3992,0.9,1.3304
4989,0.9,1.3371
5986,0.9,1.3437
6983,0.9,1.3492
7980,0.9,1.3567
8977,0.9,1.3661
9974,0.9,1.3725
10971,0.9,1.3799
11968,0.9,1.3895
12965,0.9,1.3954
13962,0.9,1.4011
14959,0.9,1.4119
15956,0.9,1.4181
16953,0.9,1.4286
17950,0.9,1.4378
18947,0.9,1.4444
19944,0.9,1.4514
1001,1.0,1.3152
1998,1.0,1.3182
2995,1.0,1.3266
3992,1.0,1.3358
4989,1.0,1.3422
5986,1.0,1.351
6983,1.0,1.3575
7980,1.0,1.3654
8977,1.0,1.3727
9974,1.0,1.3827
10971,1.0,1.3884
11968,1.0,1.3938
12965,1.0,1.4038
13962,1.0,1.4105
14959,1.0,1.4222
15956,1.0,1.4277
16953,1.0,1.4371
17950,1.0,1.4425
18947,1.0,1.4517
19944,1.0,1.459
